run,tick,insert,gravity,movement,behavior,reset,paint,total
0,0,0.0138,0.2228,0.1097,1.7023,0.0653,0.571,2.6849
0,1,0.0097,0.1984,0.1016,1.7028,0.0647,0.5906,2.6678
0,2,0.0087,0.1976,0.0979,1.7007,0.065,0.5533,2.6232
0,3,0.0087,0.1984,0.1037,1.734,0.0651,0.5492,2.6591
0,4,0.008,0.1983,0.1165,1.7173,0.0658,0.5359,2.6418
0,5,0.0087,0.2006,0.1231,1.71,0.0665,0.5421,2.651
0,6,0.0078,0.1992,0.138,1.7409,0.0651,0.5441,2.6951
0,7,0.0082,0.1945,0.1569,1.7261,0.0695,0.5677,2.7229
0,8,0.0099,0.2005,0.1583,1.7098,0.0668,0.5404,2.6857
0,9,0.0074,0.2084,0.1701,1.7544,0.0867,0.5479,2.7749
0,10,0.0086,0.1947,0.1837,1.7245,0.0652,0.5513,2.728
0,11,0.0085,0.2003,0.1953,1.7517,0.0728,0.55,2.7786
0,12,0.0076,0.1966,0.2,1.7393,0.0656,0.5436,2.7527
0,13,0.0085,0.1996,0.2675,1.7303,0.0707,0.5553,2.8319
0,14,0.007,0.1953,0.2267,1.7449,0.1085,0.5498,2.8322
0,15,0.0102,0.2084,0.2446,1.7235,0.0661,0.5446,2.7974
0,16,0.0078,0.1931,0.2541,1.7355,0.0662,0.5372,2.7939
0,17,0.0076,0.1978,0.2658,1.747,0.07,0.5409,2.8291
0,18,0.0072,0.2041,0.2768,1.7433,0.0657,0.5491,2.8462
0,19,0.0092,0.2051,0.2798,1.758,0.0657,0.5438,2.8616
0,20,0.0068,0.2049,0.2952,1.8205,0.078,0.5473,2.9527
0,21,0.0071,0.2044,0.2962,1.7386,0.0688,0.5389,2.854
0,22,0.0059,0.2002,0.3178,1.7353,0.0647,0.5448,2.8687
0,23,0.0076,0.2043,0.3074,1.7492,0.0696,0.5362,2.8743
0,24,0.0073,0.2107,0.3254,1.7496,0.0652,0.5394,2.8976
0,25,0.0083,0.2007,0.3295,1.7533,0.0646,0.5385,2.8949
0,26,0.0075,0.2151,0.3331,1.758,0.0645,0.537,2.9152
0,27,0.008,0.2048,0.3416,1.7567,0.0644,0.5339,2.9094
0,28,0.0081,0.1995,0.352,1.7612,0.0643,0.5383,2.9234
0,29,0.0085,0.2077,0.3635,1.767,0.0649,0.5334,2.945
0,30,0.0129,0.2044,0.359,1.8138,0.0729,0.5631,3.0261
0,31,0.0086,0.2049,0.3653,1.7912,0.0746,0.5437,2.9883
0,32,0.0074,0.2129,0.3698,2.029,0.0884,0.5437,3.2512
0,33,0.0094,0.205,0.357,1.8001,0.0653,0.5392,2.976
0,34,0.0076,0.2179,0.3586,1.9177,0.07,0.5491,3.1209
0,35,0.0058,0.2213,0.3674,1.7749,0.0681,0.5381,2.9756
0,36,0.0067,0.2034,0.3802,1.9146,0.0659,0.5602,3.131
0,37,0.0078,0.2147,0.3796,1.8251,0.0656,0.5479,3.0407
0,38,0.0072,0.2147,0.4575,1.7799,0.0693,0.5512,3.0798
0,39,0.0065,0.2094,0.3949,1.7871,0.0657,0.576,3.0396
0,40,0.0077,0.2161,0.3949,1.7881,0.0701,0.5389,3.0158
0,41,0.006,0.2652,0.4004,1.7956,0.0656,0.5461,3.0789
0,42,0.0091,0.3833,0.5651,1.8426,0.0683,0.566,3.4344
0,43,0.01,0.372,0.5721,1.8077,0.0672,0.7881,3.6171
0,44,0.0087,0.376,0.5838,1.8003,0.067,0.5463,3.3821
0,45,0.008,0.3711,0.5989,2.0313,0.0672,0.5486,3.6251
0,46,0.008,0.365,0.5829,1.8217,0.0674,0.5536,3.3986
0,47,0.0099,0.5969,0.4551,1.8012,0.0667,0.5503,3.4801
0,48,0.0081,0.3863,0.5891,1.8125,0.0664,0.5385,3.4009
0,49,0.0086,0.2297,0.4309,1.7934,0.0667,0.5509,3.0802
0,50,0.0103,0.2201,0.4487,1.7955,0.0648,0.5404,3.0798
0,51,0.0066,0.2196,0.449,1.7877,0.0688,0.537,3.0687
0,52,0.0118,0.2115,0.4463,1.7986,0.0646,0.6734,3.2062
0,53,0.0078,0.2256,0.4605,1.8011,0.0683,0.5334,3.0967
0,54,0.0082,0.218,0.4608,1.8059,0.0711,0.5402,3.1042
0,55,0.0079,0.2183,0.4601,1.8112,0.0645,0.5601,3.1221
