run,tick,insert,gravity,movement,behavior,reset,paint,total
0,0,0.0108,0.1054,0.0949,2.1247,0.076,0.5387,2.9505
0,1,0.0086,0.1262,0.1083,2.0495,0.0654,0.5392,2.8972
0,2,0.0083,0.1214,0.1501,2.0025,0.077,0.5341,2.8934
0,3,0.0068,0.1116,0.1105,2.0437,0.0601,0.5388,2.8715
0,4,0.0085,0.125,0.1199,1.8918,0.0604,0.5332,2.7388
0,5,0.0092,0.1274,0.1415,1.9968,0.0613,0.5496,2.8858
0,6,0.0077,0.1532,0.1421,1.8448,0.0597,0.5264,2.7339
0,7,0.007,0.1472,0.205,1.9307,0.0767,0.6054,2.972
0,8,0.0087,0.1267,0.1771,1.9983,0.0742,0.522,2.907
0,9,0.0076,0.1175,0.1898,2.0647,0.0687,0.5303,2.9786
0,10,0.0084,0.1266,0.1804,1.8675,0.0585,0.538,2.7794
0,11,0.0084,0.1658,0.1984,1.8427,0.0597,0.5454,2.8204
0,12,0.0077,0.1151,0.2094,1.8723,0.0632,0.5231,2.7908
0,13,0.0087,0.2448,0.213,2.2145,0.0617,0.5306,3.2733
0,14,0.0083,0.1535,0.2198,1.7666,0.1054,0.5844,2.838
0,15,0.0085,0.1325,0.2414,1.8937,0.0707,0.5277,2.8745
0,16,0.008,0.1388,0.2533,1.8242,0.0965,0.528,2.8488
0,17,0.007,0.1061,0.2696,1.9094,0.0697,0.5371,2.8989
0,18,0.007,0.1411,0.3682,1.9433,0.0806,0.5321,3.0723
0,19,0.0084,0.1203,0.4135,2.0115,0.068,0.5276,3.1493
0,20,0.0088,0.1259,0.2883,1.8847,0.0798,0.5356,2.9231
0,21,0.0073,0.1265,0.4245,2.0002,0.0791,0.6095,3.2471
0,22,0.0091,0.1093,0.3409,1.9191,0.0948,0.551,3.0242
0,23,0.0078,0.1325,0.3424,1.8494,0.1045,0.592,3.0286
0,24,0.0095,0.148,0.3334,1.8325,0.0673,0.5522,2.9429
0,25,0.0074,0.1413,0.3239,1.8265,0.0755,0.558,2.9326
0,26,0.0084,0.1375,0.3485,1.9206,0.0918,0.537,3.0438
0,27,0.0088,0.1228,0.3409,1.867,0.0578,0.5225,2.9198
0,28,0.0087,0.1132,0.4783,1.9909,0.0568,0.5302,3.1781
0,29,0.0078,0.1162,0.5204,1.8326,0.0705,0.534,3.0815
0,30,0.0067,0.1438,0.3967,1.9005,0.0648,0.5327,3.0452
0,31,0.0073,0.1248,0.6098,1.8458,0.0709,0.5307,3.1893
0,32,0.0095,0.1193,0.489,2.0191,0.0796,0.6143,3.3308
0,33,0.0094,0.1247,0.3975,1.9152,0.078,0.5157,3.0405
0,34,0.0072,0.1146,0.3896,1.9833,0.0703,0.538,3.103
0,35,0.0077,0.2089,0.4115,2.1439,0.0739,0.5342,3.3801
0,36,0.0082,0.1369,0.4123,1.9344,0.176,0.5498,3.2176
0,37,0.0088,0.1325,0.432,1.9282,0.0796,0.5626,3.1437
0,38,0.0084,0.149,0.4136,1.8488,0.0869,0.5499,3.0566
0,39,0.0083,0.1431,0.4109,1.8309,0.1137,0.5799,3.0868
0,40,0.0084,0.1426,0.4051,2.121,0.0561,0.5583,3.2915
0,41,0.0098,0.13,0.6177,1.8537,0.0693,0.5326,3.2131
0,42,0.0082,0.134,0.4505,1.9049,0.0628,0.531,3.0914
0,43,0.0066,0.1204,0.6418,1.8971,0.079,0.5406,3.2855
0,44,0.0071,0.1464,0.4339,1.8382,0.073,0.5632,3.0618
0,45,0.0093,0.234,0.4463,1.8306,0.0778,0.5681,3.1661
0,46,0.0085,0.148,0.4595,1.8415,0.0633,0.5685,3.0893
0,47,0.0086,0.152,0.4581,1.8483,0.0775,0.569,3.1135
0,48,0.0071,0.1353,0.4718,1.8657,0.0809,0.5443,3.1051
0,49,0.0082,0.1495,0.4454,1.8555,0.0761,0.568,3.1027
0,50,0.0081,0.1637,0.6686,1.8633,0.0806,0.5651,3.3494
0,51,0.0083,0.1512,0.4732,1.8456,0.0921,0.5461,3.1165
0,52,0.0082,0.1442,0.4782,1.8586,0.0763,0.5632,3.1287
0,53,0.0076,0.1425,0.4794,1.9297,0.0698,0.5369,3.1659
0,54,0.0089,0.1279,0.4539,2.2149,0.0736,0.563,3.4422
0,55,0.0071,0.135,0.4973,2.0543,0.0695,0.5284,3.2916
0,56,0.0131,0.1355,0.5288,1.8898,0.0687,0.5299,3.1658
0,57,0.007,0.1651,0.4516,1.8167,0.115,0.5696,3.125
0,58,0.0091,0.1419,0.4791,1.872,0.0858,0.5521,3.14
0,59,0.007,0.1433,0.5044,1.936,0.0715,0.5305,3.1927
0,60,0.0081,0.1212,0.7226,1.8826,0.0784,0.527,3.3399
0,61,0.0081,0.136,0.6023,1.8952,0.0662,0.5348,3.2426
0,62,0.0084,0.1291,0.6746,1.8826,0.0729,0.5293,3.2969
0,63,0.007,0.1254,0.7081,1.8888,0.1065,0.5627,3.3985
