run,tick,insert,gravity,movement,behavior,reset,paint,total
0,0,0.0021,0.6464,0.2941,1.1472,0.6167,0.5998,3.3063
0,1,0.0014,0.6586,0.3051,1.1512,0.89,0.5956,3.6019
0,2,0.0014,0.6382,0.318,1.1596,0.467,0.5951,3.1793
0,3,0.0013,0.6366,0.3178,1.1668,0.8905,0.596,3.609
0,4,0.0014,0.6339,0.3268,1.1717,0.9313,0.5961,3.6612
0,5,0.0013,0.641,0.3363,1.1769,0.7461,0.5987,3.5003
0,6,0.0014,0.6341,0.3465,1.1836,0.8758,0.5944,3.6358
0,7,0.0013,0.6363,0.357,1.1927,0.8032,0.5961,3.5866
0,8,0.0014,0.6353,0.3726,1.1994,0.7894,0.5964,3.5945
0,9,0.0015,0.6358,0.3841,1.2086,0.5981,0.5961,3.4242
0,10,0.0014,0.6372,0.3975,1.2244,0.899,0.5955,3.755
0,11,0.0014,0.6397,0.4093,1.224,0.8862,0.5997,3.7603
0,12,0.0013,0.6381,0.4225,1.2295,0.932,0.5957,3.8191
0,13,0.0013,0.6358,0.4376,1.2438,0.6394,0.5938,3.5517
0,14,0.0015,0.637,0.4521,1.2487,0.7284,0.5962,3.6639
0,15,0.0014,0.6389,0.4734,1.2773,0.6876,0.595,3.6736
0,16,0.0013,0.6449,0.4779,1.2704,0.4668,0.5958,3.4571
0,17,0.0014,0.6376,0.4906,1.2781,0.4713,0.5963,3.4753
0,18,0.0014,0.6374,0.5044,1.2912,0.5495,0.5951,3.579
0,19,0.0014,0.65,0.5136,1.2985,0.8383,0.5992,3.901
0,20,0.0013,0.6441,0.5243,1.3181,0.928,0.5955,4.0113
0,21,0.0014,0.6494,0.5336,1.3208,0.9243,0.5957,4.0252
0,22,0.0014,0.6451,0.5435,1.3265,0.5904,0.5972,3.7041
0,23,0.0014,0.6434,0.5554,1.336,0.7631,0.5961,3.8954
0,24,0.0013,0.6464,0.565,1.3496,0.5885,0.5966,3.7474
0,25,0.0015,0.6569,0.5715,1.3583,0.5157,0.5957,3.6996
0,26,0.0013,0.6496,0.5748,1.3678,0.7234,0.6016,3.9185
0,27,0.0013,0.651,0.5815,1.3758,0.4667,0.5951,3.6714
0,28,0.0014,0.6528,0.5921,1.3839,0.9337,0.6,4.1639
0,29,0.0014,0.6566,0.5948,1.3949,0.7729,0.5955,4.0161
0,30,0.0013,0.6535,0.6025,1.4094,0.7581,0.6011,4.0259
0,31,0.0014,0.6501,0.6045,1.4205,0.9026,0.5963,4.1754
0,32,0.0014,0.6579,0.6113,1.4302,0.6233,0.6007,3.9248
0,33,0.0012,0.655,0.613,1.4388,0.7498,0.5964,4.0542
0,34,0.0012,0.6609,0.6277,1.4498,0.7195,0.6094,4.0685
0,35,0.0014,0.6577,0.6227,1.4507,0.8849,0.5965,4.2139
0,36,0.0013,0.6612,0.6268,1.4695,0.6613,0.6004,4.0205
0,37,0.0015,0.6636,0.6314,1.4673,0.7006,0.5956,4.06
0,38,0.0013,0.6656,0.6346,1.4821,0.7266,0.5982,4.1084
0,39,0.0015,0.6602,0.644,1.4882,0.5883,0.5969,3.9791
0,40,0.0013,0.6648,0.6461,1.5024,0.8512,0.6006,4.2664
0,41,0.0013,0.6754,0.6506,1.5085,0.4668,0.5992,3.9018
0,42,0.0013,0.6648,0.6554,1.5125,0.6672,0.601,4.1022
0,43,0.0013,0.6674,0.662,1.524,0.8917,0.6043,4.3507
0,44,0.0014,0.6718,0.6698,1.5319,0.7418,0.5954,4.2121
0,45,0.0014,0.6743,0.6738,1.543,0.4685,0.5936,3.9546
0,46,0.0013,0.6678,0.6814,1.5489,0.4696,0.6009,3.9699
0,47,0.0014,0.6711,0.6888,1.5598,0.5194,0.5941,4.0346
0,48,0.0013,0.6805,0.6928,1.5778,0.7541,0.5985,4.305
0,49,0.0013,0.6743,0.6838,1.572,0.9335,0.5962,4.4611
0,50,0.0014,0.6798,0.6912,1.5811,0.8891,0.5968,4.4394
0,51,0.0013,0.6733,0.7042,1.5932,0.8254,0.5933,4.3907
0,52,0.0013,0.6761,0.7057,1.6091,0.6034,0.5959,4.1915
0,53,0.0014,0.6793,0.7065,1.61,0.7342,0.5937,4.3251
0,54,0.0015,0.6808,0.7169,1.6284,0.7847,0.5959,4.4082
0,55,0.0013,0.6769,0.7177,1.6483,0.7591,0.5959,4.3992
0,56,0.0014,0.681,0.7256,1.6364,0.85,0.5943,4.4887
0,57,0.0014,0.6806,0.7364,1.649,0.4751,0.5964,4.1389
0,58,0.0013,0.6832,0.7337,1.6498,0.4679,0.596,4.1319
0,59,0.0013,0.6809,0.7345,1.6599,0.8047,0.5998,4.4811
0,60,0.0013,0.6862,0.7461,1.669,0.511,0.596,4.2096
0,61,0.0013,0.6835,0.741,1.6746,0.5904,0.5957,4.2865
0,62,0.0014,0.6889,0.7497,1.6833,0.8728,0.596,4.5921
0,63,0.0015,0.6873,0.7562,1.6876,0.7222,0.6034,4.4582
0,64,0.0012,0.6871,0.7612,1.7003,0.4696,0.5968,4.2162
0,65,0.0015,0.6843,0.7634,1.7061,0.7245,0.6036,4.4834
0,66,0.0013,0.6892,0.7663,1.7158,0.4707,0.5965,4.2398
0,67,0.0014,0.6905,0.7679,1.7377,0.4806,0.5962,4.2743
0,68,0.0014,0.6912,0.7735,1.7328,0.5782,0.596,4.3731
0,69,0.0015,0.6899,0.7786,1.7444,0.6818,0.5986,4.4948
0,70,0.0013,0.6999,0.7917,1.7448,0.7801,0.5964,4.6142
0,71,0.0012,0.6917,0.785,1.7563,0.7775,0.5964,4.6081
0,72,0.0015,0.706,0.7922,1.7615,0.8948,0.5962,4.7522
0,73,0.0014,0.7005,0.7868,1.7736,0.8824,0.6031,4.7478
0,74,0.0013,0.6955,0.8024,1.7715,0.7789,0.5941,4.6437
0,75,0.0014,0.6931,0.8011,1.7787,0.9291,0.5963,4.7997
0,76,0.0014,0.6938,0.8036,1.7853,0.5572,0.5967,4.438
0,77,0.0013,0.6948,0.8068,1.798,0.4676,0.5938,4.3623
0,78,0.0015,0.7022,0.8156,1.8052,0.7728,0.6214,4.7187
0,79,0.0013,0.7014,0.8162,1.8395,0.9242,0.593,4.8756
0,80,0.0013,0.7,0.8237,1.8168,0.4685,0.596,4.4063
0,81,0.0013,0.6994,0.8214,1.8169,0.8716,0.5967,4.8073
0,82,0.0013,0.7084,0.8222,1.8295,0.4697,0.597,4.4281
0,83,0.0014,0.6996,0.8278,1.8416,0.9346,0.5957,4.9007
0,84,0.0013,0.7046,0.8311,1.846,0.9221,0.597,4.9021
0,85,0.0014,0.707,0.8265,1.8466,0.8926,0.5983,4.8724
0,86,0.0013,0.7032,0.8294,1.857,0.6815,0.5965,4.6689
0,87,0.0013,0.705,0.831,1.8693,0.4727,0.596,4.4753
0,88,0.0015,0.7034,0.838,1.8707,0.7941,0.596,4.8037
0,89,0.0012,0.7053,0.8634,1.8787,0.7548,0.5959,4.7993
0,90,0.0014,0.7075,0.8452,1.8841,0.9243,0.5996,4.9621
0,91,0.0013,0.7027,0.8429,1.8891,0.539,0.5964,4.5714
0,92,0.0014,0.7097,0.8514,1.8968,0.4705,0.5948,4.5246
0,93,0.0013,0.7077,0.8533,1.904,0.9255,0.5994,4.9912
0,94,0.0014,0.7066,0.8532,1.917,0.8669,0.5959,4.941
0,95,0.0014,0.7039,0.861,1.9194,0.7912,0.5961,4.873
0,96,0.0014,0.7118,0.869,1.9199,0.843,0.597,4.9421
0,97,0.0013,0.7041,0.8546,1.9188,0.8163,0.5952,4.8903
0,98,0.0014,0.7047,0.8556,1.9263,0.6581,0.604,4.7501
0,99,0.0013,0.712,0.8672,1.9369,0.8427,0.5954,4.9555
0,100,0.0013,0.7083,0.8672,1.9365,0.7008,0.5961,4.8102
0,101,0.0014,0.7122,0.8677,1.9411,0.4673,0.5972,4.5869
0,102,0.0013,0.7069,0.8768,1.9526,0.4686,0.6021,4.6083
0,103,0.0014,0.7149,0.8731,1.954,0.6828,0.5953,4.8215
0,104,0.0013,0.7106,0.8806,1.9644,0.9334,0.5984,5.0887
0,105,0.0014,0.7141,0.8814,1.9751,0.9287,0.5954,5.0961
0,106,0.0014,0.7166,0.8808,1.9741,0.7631,0.6039,4.9399
0,107,0.0013,0.7164,0.8841,1.9839,0.6582,0.5963,4.8402
0,108,0.0012,0.7152,0.8966,1.9884,0.4712,0.596,4.6686
0,109,0.0014,0.7163,0.8894,1.9923,0.802,0.5967,4.9981
0,110,0.0014,0.7168,0.8943,1.9976,0.9012,0.6037,5.115
0,111,0.0014,0.7192,0.8963,2.0261,0.5016,0.5968,4.7414
0,112,0.0013,0.7118,0.9028,2.0123,0.886,0.5959,5.1101
0,113,0.0013,0.7157,0.8975,2.0418,0.9182,0.5976,5.1721
0,114,0.0014,0.7152,0.9041,2.0264,0.6659,0.5962,4.9092
0,115,0.0015,0.7151,0.8992,2.0221,0.9319,0.5965,5.1663
0,116,0.0014,0.7169,0.9063,2.0399,0.9145,0.5957,5.1747
0,117,0.0016,0.7159,0.9077,2.0407,0.929,0.5966,5.1915
0,118,0.0013,0.7148,0.9157,2.0555,0.8675,0.5962,5.151
0,119,0.0012,0.7138,0.9171,2.0574,0.906,0.5959,5.1914
0,120,0.0013,0.7173,0.9193,2.0644,0.4672,0.5961,4.7656
0,121,0.0013,0.7146,0.9109,2.0632,0.8636,0.5935,5.1471
0,122,0.0013,0.7232,0.9098,2.0592,0.6741,0.5953,4.9629
0,123,0.0013,0.7148,0.9201,2.075,0.6263,0.5965,4.934
0,124,0.0013,0.7187,0.937,2.0812,0.7981,0.5964,5.1327
0,125,0.0013,0.7181,0.9204,2.0832,0.8032,0.5967,5.1229
0,126,0.0013,0.7188,0.9252,2.0884,0.7061,0.5963,5.0361
0,127,0.0013,0.7234,0.9252,2.0869,0.5994,0.5953,4.9315
