run,tick,insert,gravity,movement,behavior,reset,paint,total
0,0,0.0104,0.1406,0.0969,1.9004,0.0619,0.5416,2.7518
0,1,0.0098,0.1183,0.0976,1.8486,0.0619,0.5581,2.6943
0,2,0.0082,0.1248,0.1176,1.9519,0.0823,0.5208,2.8056
0,3,0.0076,0.1204,0.1188,1.9374,0.0855,0.5229,2.7926
0,4,0.0069,0.1201,0.1186,1.8863,0.0605,0.5349,2.7273
0,5,0.008,0.1396,0.1366,1.9604,0.0661,0.5429,2.8536
0,6,0.0069,0.1258,0.2046,1.861,0.1955,0.5925,2.9863
0,7,0.0086,0.14,0.2348,1.8227,0.0972,0.5748,2.8781
0,8,0.0067,0.1503,0.1578,1.8544,0.0747,0.5404,2.7843
0,9,0.0072,0.1241,0.2421,1.9923,0.0874,0.5281,2.9812
0,10,0.0074,0.0995,0.2005,1.9139,0.0787,0.5356,2.8356
0,11,0.0067,0.1243,0.2086,1.9207,0.0761,0.5239,2.8603
0,12,0.0084,0.1308,0.2063,1.8352,0.0624,0.545,2.7881
0,13,0.0071,0.1388,0.234,1.9204,0.0767,0.5246,2.9016
0,14,0.0068,0.1205,0.3365,2.0386,0.0607,0.5446,3.1077
0,15,0.0077,0.1296,0.2334,1.8117,0.0732,0.5221,2.7777
0,16,0.0073,0.1221,0.2483,1.8661,0.0844,0.5228,2.851
0,17,0.0072,0.1263,0.261,1.861,0.068,0.5243,2.8478
0,18,0.0078,0.1204,0.2614,1.8544,0.0555,0.5225,2.822
0,19,0.0079,0.1253,0.3675,2.0008,0.114,0.5483,3.1638
0,20,0.0066,0.1547,0.2833,1.7348,0.098,0.5681,2.8455
0,21,0.0085,0.1289,0.2941,1.854,0.078,0.5307,2.8942
0,22,0.0067,0.1217,0.3067,1.8441,0.0846,0.5325,2.8963
0,23,0.0067,0.1336,0.4131,1.9509,0.0865,0.5242,3.115
0,24,0.0066,0.1709,0.3458,1.9964,0.0846,0.5379,3.1422
0,25,0.0078,0.1413,0.3358,1.83,0.0749,0.5301,2.9199
0,26,0.0065,0.156,0.3386,1.7601,0.1068,0.5387,2.9067
0,27,0.0072,0.1477,0.3246,1.7489,0.0947,0.7589,3.082
0,28,0.0076,0.1312,0.3407,1.75,0.1095,0.5624,2.9014
0,29,0.0088,0.1345,0.3553,1.8688,0.0657,0.5367,2.9698
0,30,0.0078,0.1212,0.3735,1.8974,0.0599,0.5324,2.9922
0,31,0.0077,0.1276,0.3825,1.8513,0.0886,0.5375,2.9952
0,32,0.0077,0.1494,0.3971,1.932,0.0998,0.5612,3.1472
0,33,0.0081,0.1425,0.3665,1.8384,0.0645,0.535,2.955
0,34,0.0076,0.1298,0.3982,1.8533,0.0815,0.5357,3.0061
0,35,0.006,0.1271,0.4896,1.9868,0.0633,0.5898,3.2626
0,36,0.0064,0.1369,0.3855,1.8734,0.0836,0.5276,3.0134
0,37,0.0072,0.1926,0.4031,1.8416,0.0824,0.5255,3.0524
0,38,0.0075,0.1578,0.3781,1.7863,0.1033,0.5737,3.0067
0,39,0.0074,0.1527,0.3853,1.7612,0.1127,0.5558,2.9751
0,40,0.008,0.1476,0.394,1.8858,0.0886,0.5235,3.0475
0,41,0.0069,0.1395,0.4086,1.8707,0.0811,0.5355,3.0423
0,42,0.0074,0.1399,0.4084,1.8706,0.0894,0.5228,3.0385
0,43,0.0074,0.138,0.4133,2.1019,0.0853,0.5327,3.2786
0,44,0.007,0.1617,0.5371,1.7823,0.1375,0.5528,3.1784
0,45,0.0121,0.2276,0.4316,1.7796,0.135,0.6027,3.1886
0,46,0.0068,0.1895,0.6251,1.9374,0.068,0.5486,3.3754
0,47,0.0071,0.1668,0.5818,2.0081,0.0729,0.5401,3.3768
0,48,0.007,0.1525,0.4576,1.8777,0.0706,0.5453,3.1107
0,49,0.0067,0.1648,0.5741,2.0902,0.1773,0.5426,3.5557
0,50,0.0069,0.1416,0.4483,1.8812,0.1256,0.5974,3.201
0,51,0.0083,0.1527,0.4492,1.9276,0.0739,0.5331,3.1448
0,52,0.007,0.1634,0.5714,1.8646,0.0759,0.5324,3.2147
0,53,0.0081,0.1602,0.4682,1.9246,0.0724,0.5388,3.1723
0,54,0.0069,0.185,0.5726,1.9184,0.0733,0.5787,3.3349
0,55,0.0082,0.1689,0.5838,1.8329,0.085,0.7529,3.4317
0,56,0.0069,0.1617,0.6281,1.927,0.0924,0.5523,3.3684
0,57,0.0072,0.1637,0.5808,1.7984,0.0757,0.5317,3.1575
0,58,0.0067,0.1579,0.4853,1.9152,0.0791,0.5354,3.1796
0,59,0.007,0.1593,0.4903,1.9547,0.0867,0.5398,3.2378
0,60,0.0078,0.2749,0.495,1.9666,0.0808,0.5667,3.3918
